ph,salinity,moisture,tds,light,temperature,humidity,timestamp
421,865,38,1017,85,31.4,48,2023-09-27 3:42:24.100
422,866,36,1021,85,31.4,48,2023-09-27 3:42:28.100
421,869,35,1021,85,31.4,48,2023-09-27 3:42:32.100
422,866,39,1016,85,31.4,48,2023-09-27 3:42:36.100
421,869,36,1020,85,31.4,48,2023-09-27 3:42:40.100
423,866,37,1017,85,31.4,48,2023-09-27 3:42:44.100
424,865,37,1019,85,31.4,48,2023-09-27 3:42:48.100
421,868,36,1020,85,31.4,48,2023-09-27 3:42:52.100
422,865,39,1016,85,31.4,48,2023-09-27 3:42:56.100
422,866,37,1017,85,31.4,48,2023-09-27 3:43:00.100
419,868,34,1021,85,31.5,48,2023-09-27 3:43:04.100
421,866,39,1017,85,31.4,48,2023-09-27 3:43:08.100
420,866,36,1018,85,31.4,48,2023-09-27 3:43:12.100
419,867,35,1019,85,31.5,49,2023-09-27 3:43:16.100
422,865,38,1018,85,31.4,49,2023-09-27 3:43:20.100
421,869,37,1017,85,31.4,48,2023-09-27 3:43:24.100
419,870,34,1020,85,31.5,48,2023-09-27 3:43:28.100
422,867,39,1016,85,31.4,49,2023-09-27 3:43:32.100
422,866,39,1017,85,31.4,48,2023-09-27 3:43:36.100
421,867,38,1018,85,31.4,49,2023-09-27 3:43:40.100
420,870,35,1020,85,31.4,49,2023-09-27 3:43:44.100
422,866,37,1016,85,31.4,49,2023-09-27 3:43:48.100
422,865,37,1017,85,31.4,49,2023-09-27 3:43:52.100
420,868,34,1021,85,31.4,49,2023-09-27 3:43:56.100
421,866,32,1019,87,31.4,49,2023-09-27 3:44:00.100
422,866,36,1017,84,31.5,49,2023-09-27 3:44:04.100
420,868,37,1017,84,31.5,49,2023-09-27 3:44:08.100
419,867,35,1019,83,31.4,49,2023-09-27 3:44:12.100
421,869,37,1021,85,31.4,49,2023-09-27 3:44:16.100
422,864,37,1018,85,31.4,49,2023-09-27 3:44:20.100
420,869,35,1022,85,31.5,49,2023-09-27 3:44:24.100
422,865,36,1018,85,31.4,49,2023-09-27 3:44:28.100
419,867,34,1021,85,31.4,49,2023-09-27 3:44:32.100
423,866,36,1018,85,31.4,49,2023-09-27 3:44:36.100
422,867,35,1021,85,31.5,49,2023-09-27 3:44:40.100
419,870,34,1022,85,31.4,49,2023-09-27 3:44:44.100
421,865,35,1020,85,31.5,49,2023-09-27 3:44:48.100
421,868,37,1017,85,31.4,49,2023-09-27 3:44:52.100
422,866,38,1019,85,31.4,49,2023-09-27 3:44:56.100
420,866,37,1019,85,31.5,49,2023-09-27 3:45:00.100
422,867,38,1017,85,31.4,49,2023-09-27 3:45:04.100
422,867,34,1022,85,31.5,49,2023-09-27 3:45:08.100
421,866,37,1017,85,31.4,49,2023-09-27 3:45:12.100
422,866,34,1018,85,31.4,49,2023-09-27 3:45:16.100
422,869,36,1020,85,31.4,49,2023-09-27 3:45:20.100
422,865,39,1017,85,31.4,49,2023-09-27 3:45:24.100
419,869,32,1021,85,31.4,49,2023-09-27 3:45:28.100
421,869,38,1018,85,31.5,49,2023-09-27 3:45:32.100
420,870,34,1020,85,31.5,49,2023-09-27 3:45:36.100
422,866,38,1019,85,31.5,49,2023-09-27 3:45:40.100
419,867,34,1019,85,31.5,49,2023-09-27 3:45:44.100
424,866,40,1016,85,31.5,49,2023-09-27 3:45:48.100
423,865,37,1017,85,31.5,49,2023-09-27 3:45:52.100
419,866,33,1018,85,31.5,49,2023-09-27 3:45:56.100
420,868,35,1017,85,31.5,49,2023-09-27 3:46:00.100
422,867,37,1018,85,31.5,49,2023-09-27 3:46:04.100
423,866,35,1017,85,31.5,49,2023-09-27 3:46:08.100
420,869,34,1021,85,31.5,49,2023-09-27 3:46:12.100
420,868,35,1020,85,31.5,49,2023-09-27 3:46:16.100
422,867,37,1017,85,31.5,49,2023-09-27 3:46:20.100
422,866,37,1018,85,31.5,49,2023-09-27 3:46:24.100
419,868,33,1021,85,31.5,49,2023-09-27 3:46:28.100
419,868,34,1021,84,31.5,49,2023-09-27 3:46:32.100
